continent,variable,00s_mean,00s_min,00s_max,00s_q25,00s_q75,10s_mean,10s_min,10s_max,10s_q25,10s_q75
Africa,avg_temp,0.025322252249399105,-0.06843675171961866,0.09006846190195633,-0.006000001505745182,0.060737101990930666,-0.08351630329139709,-0.17940460500985544,0.07847260062829815,-0.13823145944660312,-0.03188855667987819
Africa,intercept,0.037517961805756596,-0.10517390632709261,0.49065927660554415,-0.060625233623839564,0.09255501301318184,0.3752186288537927,0.22835231876716108,0.7142265016747907,0.30306294319758975,0.4201361060816186
Africa,log_elev,0.014663448745682784,-0.017863813523988855,0.03737919544783933,0.001874322528252398,0.028019327883156843,0.05901882176978531,0.024814611609852245,0.08007540746157524,0.0460859214453027,0.07309201044252782
Africa,log_pop,-0.08253008988927008,-0.2183763357299159,-0.00384250400112916,-0.11960688904869532,-0.04000806239055882,-0.02770820882838924,-0.22365516926885265,0.08735665755638046,-0.06382256371445888,0.012950473353570694
Africa,log_prec,0.013072698324163174,-0.026022842105570845,0.07897561442868356,-0.009065237587165246,0.03373709941470649,0.04727964517955661,0.006150134098946435,0.09939304942210969,0.039025683838480166,0.053256090655591594
Africa,log_remote,0.04694351436474476,0.024135163440806892,0.05710443243045822,0.04403416255550579,0.05090085765400656,0.06574481583768724,0.031726037212151365,0.10584520245534965,0.05452592200842636,0.07456896913752742
Africa,place_type_natural_location,0.25047022757452503,-0.030261423459210724,0.4581093364334062,0.13718870091498964,0.363728644298677,0.07431180490842582,-0.33426561934549953,0.2752507941502428,-0.0568211642628867,0.23032374132454475
Africa,place_type_region,0.1619042782449651,-0.018622657075179964,0.21611476281079373,0.13485194935893435,0.20421986213976914,0.03542966429787639,-0.34800567839047375,0.2543497574118245,-0.07077699815920294,0.15925674324913885
Africa,place_type_urban,-0.14510190418587735,-0.3368073398126098,0.03523383094244397,-0.17395609007930826,-0.12440807166100462,-0.28201781916208185,-0.5110666648138784,-0.06649320119221108,-0.3686853472896546,-0.19190281659709021
Africa,temp_range,-0.12017747996199549,-0.2641150316014966,0.08747106156274144,-0.19640951409028462,-0.05194669321456505,-0.23886638460705442,-0.3320350503311799,-0.060927488305946714,-0.30383310283379694,-0.18106891498531685
Asia,avg_temp,0.0014714770576820628,-0.2960715151930631,0.06192722584208793,-0.0136319333056622,0.026440876232974468,-0.12493515874965877,-0.27183894145992676,-0.03844790373292482,-0.15824741969335496,-0.08388557537045455
Asia,intercept,0.3309149073170649,-0.08541761922388073,0.9731510788614992,0.14849510782979536,0.490898764658355,0.37279030199016805,0.16771057432143913,0.8150146172355472,0.26033342960496847,0.4541177365505459
Asia,log_elev,0.025418445290240364,-0.007325717566887674,0.03745829255848221,0.023696354368358295,0.02921811457116364,-0.012402077983749392,-0.04398374057443348,0.07097438381259467,-0.033701193531778424,0.001954920462614254
Asia,log_pop,-0.20070858222067695,-0.4903931881641339,-0.00384730767777469,-0.30180564814670896,-0.1053855428202096,-0.11994882456017401,-0.34965273095783556,0.09351777585439139,-0.20477538498076447,-0.030449631106253316
Asia,log_prec,0.05962678357194352,-0.006261667213190835,0.18552173515515355,0.02700773375934769,0.0858527459344731,0.05626702195928725,-0.0523562684218104,0.08981189080278035,0.05258554954585209,0.07349586530267053
Asia,log_remote,0.03646979573659391,0.011514088588181644,0.0632370148971072,0.02837192178201789,0.044259734558337746,0.012619762513410356,-0.04999190370415483,0.09332274336464808,-0.014654586712019668,0.03824302898027684
Asia,place_type_natural_location,0.05656176868276258,-0.3208615949820314,0.35164058449155594,-0.029503404873884306,0.1357295577763668,0.7723696013024528,0.062268527697003216,1.4014650535227517,0.4557160238285468,1.093904045077141
Asia,place_type_region,0.12645766946845335,-0.14309469145302808,0.397999064949609,0.07467996979832953,0.1895708532283652,0.15953236313938343,-0.08318758122813187,0.4149158074176969,0.07799487404287754,0.24507774950472774
Asia,place_type_urban,-0.022708430554787315,-0.14779838380424726,0.18922336907222112,-0.09491061009135457,0.043852006083839185,-0.15457672878429926,-0.3794578077221494,0.31060095773244395,-0.2813263074044823,-0.06866599322481165
Asia,temp_range,0.1335006702016385,-0.0884102564726681,0.19749913014051668,0.11223248457119595,0.17745310025471656,0.0749233673087114,-0.2799434280678058,0.22796615113242866,-5.775791720618296e-4,0.17911652858024799
Europe,avg_temp,0.029485076243107648,-0.07055330323952921,0.08788069263959633,0.015882236665924258,0.041643628430822546,-0.2022503143156764,-0.23213869522155703,2.516009738101294e-4,-0.2130672613929037,-0.1931638765975212
Europe,intercept,0.10258838086213501,-0.054180709458046754,0.4580337544993075,0.06491350164879328,0.12888954558179805,0.3799720223925435,0.23893446246766523,0.675277209987849,0.3440812440544451,0.4160192582795255
Europe,log_elev,0.024618632464920395,-0.0070762472979055205,0.033726131742249844,0.021710841290441832,0.029137709095571174,0.019166333570653615,-9.096623519742621e-4,0.07509000084408705,0.014137396350675634,0.02478871088649394
Europe,log_pop,-0.0791598220657418,-0.24180050883545,-0.029363958132517007,-0.09641009887661264,-0.055921595303146374,-0.1302673599132358,-0.273807373485701,0.02871300636180925,-0.1587521676211172,-0.10292909659797336
Europe,log_prec,0.0314065355256397,-0.008277730818822347,0.06576097838895043,0.02581421073505511,0.036424421817400736,0.051571567997823246,0.029508395810894247,0.10704071022959805,0.05048675477240792,0.05277708936642777
Europe,log_remote,0.05594816774404818,0.007401206234390267,0.06027355343227599,0.054645642505113896,0.058967645913774326,0.048667201219193906,-0.004602130108164507,0.06996829802123622,0.04814248922857383,0.05049023216619128
Europe,place_type_natural_location,0.1473885407050469,0.03990759413585039,0.4204340764930467,0.14167792524960532,0.15484724143000064,0.37267520697685197,-0.3112444258290323,0.6373960927073606,0.29967122259797285,0.41882407309258707
Europe,place_type_region,0.2099796002370904,0.03775138979394234,0.24762309978903116,0.20569469034680318,0.21787953983394903,0.2823707267148042,-0.32635479949138213,0.3250051449547424,0.26428625049535104,0.30562607711227185
Europe,place_type_urban,-0.07222597226399814,-0.23931313485402753,0.013784818989553143,-0.09307136319232646,-0.04974353556209833,-0.07370932696220298,-0.5278459140386121,0.01856573532194898,-0.10011473537497344,-0.04369401478104622
Europe,temp_range,0.08162436904129304,-0.12103956376576186,0.1559202951172466,0.05257466813867955,0.1100749537834033,0.006493737925470377,-0.28826976505370727,0.11703631842732493,-0.032176810120208725,0.047308152061637895
North America,avg_temp,-0.11038798156222397,-0.25211904349892544,0.031404950126084956,-0.15302747430604974,-0.08049459011220718,-0.19233535139934047,-0.2678002093386425,-0.08622522851860016,-0.2025886200899718,-0.17622486202409526
North America,intercept,0.28529970053164466,0.15714483219289369,0.6817841521437673,0.2072070173019518,0.36402588995768104,0.5035108861847069,0.2496994234873998,0.5911315536191879,0.4755797078019051,0.5569931259433014
North America,log_elev,-0.007688391216944393,-0.019774418460740975,0.008560042960815506,-0.010111215109838331,-0.0062281084507655685,0.05232169835769973,-0.006132792426120046,0.06134185235307549,0.04910055992224284,0.059292575396498425
North America,log_pop,-0.2577737481288903,-0.3600316890213422,-0.17030199209596333,-0.2716869997037936,-0.24707032005484045,-0.22784028043434634,-0.2736926087787614,-0.1076548059340897,-0.2489299737815192,-0.208077838461726
North America,log_prec,0.020230266394522068,0.010277618734519772,0.08621130509705505,0.014706885617006978,0.023847467403760744,-0.002464878361790169,-0.058634345736044625,0.04291029040320555,-0.017043090003432487,0.014847356627520285
North America,log_remote,0.030577334515220714,0.0036962868743371045,0.05229073654753082,0.023297001921137046,0.0379296101934386,0.07412148808491627,0.013444114425321885,0.10089408313347772,0.06346560450657801,0.08518656082735905
North America,place_type_natural_location,0.24116649354020728,-0.008058659305977317,0.40482527882087854,0.16220197642922668,0.3173096522371749,0.31946054794562706,0.19598786523116146,0.9625724542670989,0.23774286439190942,0.3531646407561337
